ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	votes	url
G6.23	None	6	6	G12566UU	Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(1)Man(3)Gal(4)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-1-3-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_j?-m1_k?-l1_m?-n1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-23
G6.24	None	6	6	G12566UU	Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(1)Man(3)Gal(4)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-1-3-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_j?-m1_k?-l1_m?-n1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-24
G6.25	None	6	6	G12566UU	Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(1)Man(3)Gal(4)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-3-1-3-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_j?-m1_k?-l1_m?-n1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-25
G6.26	None	6	6	G39884UI	Gal?1-?(Fuc?1-?)GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)NeuAc(2)Fuc(2)Man(3)Gal(3)	WURCS=2.0/5,15,14/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-5-3-2-1-3-4-5/a?-b1_a?-o1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_h?-j1_k?-l1_l?-m1_m?-n2	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-26
G6.27	None	6	6	G21535PF	Gal?1-?(Fuc?1-?)GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(2)Man(3)Gal(4)	WURCS=2.0/5,16,15/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-5-3-1-3-5/a?-b1_a?-p1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_j?-n1_k?-l1_k?-m1_n?-o1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-27
G6.28	None	6	6	G21535PF	Gal?1-?(Fuc?1-?)GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(2)Man(3)Gal(4)	WURCS=2.0/5,16,15/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-5-3-1-3-5/a?-b1_a?-p1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_j?-n1_k?-l1_k?-m1_n?-o1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-28
G6.29	None	6	6	G21535PF	Gal?1-?(Fuc?1-?)GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(2)Man(3)Gal(4)	WURCS=2.0/5,16,15/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-2-1-5-3-1-3-5/a?-b1_a?-p1_b?-c1_c?-d1_c?-j1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_j?-k1_j?-n1_k?-l1_k?-m1_n?-o1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-29
G6.30	None	6	6	G33372ZN	Gal?1-?(Fuc?1-?)GlcNAc?1-?(Gal?1-?(Fuc?1-?)GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(3)Man(3)Gal(4)	WURCS=2.0/5,17,16/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-1-2-2-1-3-4-1-3-4-2-1-4-5-1-4-3/a?-b1_a?-q1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_e?-g1_h?-i1_h?-j1_k?-l1_k?-o1_l?-m1_m?-n2_o?-p1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-30
G6.31	None	6	6	G33372ZN	Gal?1-?(Fuc?1-?)GlcNAc?1-?(Gal?1-?(Fuc?1-?)GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(3)Man(3)Gal(4)	WURCS=2.0/5,17,16/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-1-2-2-1-3-4-1-3-4-2-1-4-5-1-4-3/a?-b1_a?-q1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_e?-g1_h?-i1_h?-j1_k?-l1_k?-o1_l?-m1_m?-n2_o?-p1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-31
G6.32	None	6	6	G33372ZN	Gal?1-?(Fuc?1-?)GlcNAc?1-?(Gal?1-?(Fuc?1-?)GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(1)Fuc(3)Man(3)Gal(4)	WURCS=2.0/5,17,16/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-1-2-2-1-3-4-1-3-4-2-1-4-5-1-4-3/a?-b1_a?-q1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_e?-g1_h?-i1_h?-j1_k?-l1_k?-o1_l?-m1_m?-n2_o?-p1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-32
G6.33	None	6	6	G80034HK	Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(6)NeuAc(2)Fuc(1)Man(3)Gal(4)	WURCS=2.0/5,16,15/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-1-3-4-2-1-3-1-3-5/a?-b1_a?-p1_b?-c1_c?-d1_c?-k1_d?-e1_d?-h1_e?-f1_f?-g2_h?-i1_i?-j2_k?-l1_k?-n1_l?-m1_n?-o1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-33
G6.34	None	6	6	G10362LS	Gal?1-?GlcNAc?1-?Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?(Gal?1-?GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(7)NeuAc(1)Fuc(1)Man(3)Gal(5)	WURCS=2.0/5,17,16/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-1-3-1-3-2-1-3-4-1-3-5/a?-b1_a?-q1_b?-c1_c?-d1_c?-k1_d?-e1_d?-i1_e?-f1_f?-g1_g?-h1_i?-j1_k?-l1_k?-o1_l?-m1_m?-n2_o?-p1	1	http://127.0.0.1:10981/result/shfolvdflh#glycan-5-34
