ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G1.1	None	1	1	G97599MN	NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)NeuAc(2)Man(3)Gal(2)	WURCS=2.0/4,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-1-2-2-1-3-4-2-1-3-4/a?-b1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_f?-g2_h?-i1_i?-j1_j?-k2	http://0.0.0.0:10981/result/zazpmyoc3j#glycan-0-1
G1.2	None	1	1	G52512ZN	GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)(NeuAc?2-?Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(5)NeuAc(2)Fuc(1)Man(3)Gal(2)	WURCS=2.0/5,13,12/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-5-2-1-3-4-1/a?-b1_b?-c1_c?-d1_c?-i1_c?-m1_d?-e1_e?-f1_e?-h1_f?-g2_i?-j1_j?-k1_k?-l2	http://0.0.0.0:10981/result/zazpmyoc3j#glycan-0-2
G1.3	None	1	1		GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc	GlcNAc(4)NeuAc(2)Man(3)Gal(2)		http://0.0.0.0:10981/result/zazpmyoc3j#glycan-0-3
G1.4	None	1	1	G37281BN	GlcNAc?1-?(NeuAc?2-?Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?)(NeuAc?2-?Gal?1-?(Fuc?1-?)GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(5)NeuAc(2)Fuc(2)Man(3)Gal(2)	WURCS=2.0/5,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-5-2-1-3-4-5-1/a?-b1_b?-c1_c?-d1_c?-i1_c?-n1_d?-e1_e?-f1_e?-h1_f?-g2_i?-j1_j?-k1_j?-m1_k?-l2	http://0.0.0.0:10981/result/zazpmyoc3j#glycan-0-4
G1.5	None	1	1	G35465JY	NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(5)NeuAc(2)Man(3)Gal(2)	WURCS=2.0/4,12,11/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O]/1-1-2-2-1-3-4-1-2-1-3-4/a?-b1_b?-c1_c?-d1_c?-i1_d?-e1_d?-h1_e?-f1_f?-g2_i?-j1_j?-k1_k?-l2	http://0.0.0.0:10981/result/zazpmyoc3j#glycan-0-5
G1.6	None	1	1	G66457WL	NeuAc?2-?Gal?1-?GalNAc?1-?Man?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)NeuAc(2)Man(3)GalNAc(1)Gal(2)	WURCS=2.0/5,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a2112h-1x_1-5_2*NCC/3=O]/1-1-2-2-1-3-4-2-5-3-4/a?-b1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_f?-g2_h?-i1_i?-j1_j?-k2	http://0.0.0.0:10981/result/zazpmyoc3j#glycan-0-6
