ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G5.7	None	11	5	G09276VG	Fuc?1-?(GalNAc?1-?GlcNAc?1-?Man?1-?(GalNAc?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)GalNAc(2)	WURCS=2.0/4,10,9/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5_2*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-2-1-3-4/a?-b1_a?-j1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1_h?-i1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-4-7
G5.8	None	11	5	G91496ML	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(5)Man(3)Gal(3)	WURCS=2.0/3,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-1-3-2-1-3/a?-b1_b?-c1_c?-d1_c?-i1_d?-e1_d?-g1_e?-f1_g?-h1_i?-j1_j?-k1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-4-8
G5.9	None	11	5	G72398VP	Fuc?1-?(GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-1-3/a?-b1_a?-h1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-4-9
G5.10	None	11	5	G72398VP	Fuc?1-?(GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-1-3/a?-b1_a?-h1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-4-10
G6.1	None	12	6	G03833LE	Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_c?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-1
G6.2	None	12	6	G64017CW	Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(1)	WURCS=2.0/2,3,2/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2/a?-b1_b?-c1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-2
G6.3	None	12	6	G86427WL	Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(2)	WURCS=2.0/2,4,3/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2/a?-b1_b?-c1_c?-d1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-3
G6.4	None	12	6	G86427WL	Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(2)	WURCS=2.0/2,4,3/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2/a?-b1_b?-c1_c?-d1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-4
G6.5	None	12	6	G17271TR	Man?1-?Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-5
G6.6	None	12	6	G64017CW	Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(1)	WURCS=2.0/2,3,2/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2/a?-b1_b?-c1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-6
G6.7	None	12	6	G94017LW	Man?1-?Man?1-?Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(3)	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-2-3/a?-b1_a?-f1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-7
G6.8	None	12	6	G94017LW	Man?1-?Man?1-?Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(3)	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-2-3/a?-b1_a?-f1_b?-c1_c?-d1_d?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-8
G6.9	None	12	6	G25347ZR	Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(1)	WURCS=2.0/3,4,3/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-3/a?-b1_a?-d1_b?-c1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-5-9
