ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G3.1	None	5	3	G64017CW	Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(1)	WURCS=2.0/2,3,2/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2/a?-b1_b?-c1	http://0.0.0.0:10982/result/ahyhupvuga#glycan-2-1
G3.2	None	5	3	G86427WL	Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(2)	WURCS=2.0/2,4,3/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2/a?-b1_b?-c1_c?-d1	http://0.0.0.0:10982/result/ahyhupvuga#glycan-2-2
G3.3	None	5	3	G59325ZF	Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)Man(3)	WURCS=2.0/2,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1	http://0.0.0.0:10982/result/ahyhupvuga#glycan-2-3
G3.4	None	5	3	G78607HP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2-1/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/ahyhupvuga#glycan-2-4
