ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	votes	url
G2.1	None	3	2	G64017CW	Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(1)	WURCS=2.0/2,3,2/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2/a?-b1_b?-c1	1	http://127.0.0.1:10981/result/jdlusgxaop#glycan-1-1
G2.2	None	3	2	G86427WL	Man?1-?Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(2)	WURCS=2.0/2,4,3/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2/a?-b1_b?-c1_c?-d1	1	http://127.0.0.1:10981/result/jdlusgxaop#glycan-1-2
G2.3	None	3	2	G59325ZF	Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)Man(3)	WURCS=2.0/2,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1	1	http://127.0.0.1:10981/result/jdlusgxaop#glycan-1-3
G2.4	None	3	2	G78607HP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2-1/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	1	http://127.0.0.1:10981/result/jdlusgxaop#glycan-1-4
